@relation bookauthor

@attribute little integer
@attribute night integer
@attribute people integer
@attribute looked integer
@attribute house integer
@attribute found integer
@attribute towards integer
@attribute heard integer
@attribute father integer
@attribute moment integer
@attribute hands integer
@attribute stood integer
@attribute looking integer
@attribute friend integer
@attribute light integer
@attribute world integer
@attribute morning integer
@attribute heart integer
@attribute woman integer
@attribute pretty integer
@attribute brother integer
@attribute water integer
@attribute business integer
@attribute coming integer
@attribute couldn integer
@attribute indeed integer
@attribute wouldn integer
@attribute round integer
@attribute black integer
@attribute cried integer
@attribute believe integer
@attribute passed integer
@attribute river integer
@attribute family integer
@attribute white integer
@attribute manner integer
@attribute brought integer
@attribute course integer
@attribute words integer
@attribute voice integer
@attribute happy integer
@attribute struck integer
@attribute evening integer
@attribute speak integer
@attribute times integer
@attribute stopped integer
@attribute sister integer
@attribute minute integer
@attribute child integer
@attribute letter integer
@attribute mother integer
@attribute reckon integer
@attribute leave integer
@attribute doubt integer
@attribute gentleman integer
@attribute answer integer
@attribute sound integer
@attribute returned integer
@attribute called integer
@attribute window integer
@attribute tried integer
@attribute money integer
@attribute nigger integer
@attribute walked integer
@attribute sight integer
@attribute ground integer
@attribute ready integer
@attribute daughter integer
@attribute close integer
@attribute trouble integer
@attribute prisoner integer
@attribute beyond integer
@attribute country integer
@attribute saying integer
@attribute strong integer
@attribute husband integer
@attribute table integer
@attribute women integer
@attribute short integer
@attribute children integer
@attribute pleasure integer
@attribute subject integer
@attribute sense integer
@attribute matter integer
@attribute remember integer
@attribute village integer
@attribute friends integer
@attribute person integer
@attribute feeling integer
@attribute replied integer
@attribute attention integer
@attribute ought integer
@attribute corner integer
@attribute yourself integer
@attribute sometimes integer
@attribute street integer
@attribute followed integer
@attribute strange integer
@attribute thinking integer
@attribute themselves integer
@attribute chance integer
@attribute standing integer
@attribute hundred integer
@attribute comes integer
@attribute feelings integer
@attribute opinion integer
@attribute appeared integer
@attribute death integer
@attribute doing integer
@attribute happened integer
@attribute trees integer
@attribute hardly integer
@attribute means integer
@attribute getting integer
@attribute understand integer
@attribute started integer
@attribute smoke integer
@attribute usual integer
@attribute account integer
@attribute immediately integer
@attribute common integer
@attribute crowd integer
@attribute streets integer
@attribute afraid integer
@attribute talking integer
@attribute spoke integer
@attribute minutes integer
@attribute houses integer
@attribute talked integer
@attribute happiness integer
@attribute hours integer
@attribute change integer
@attribute perfectly integer
@attribute reason integer
@attribute carriage integer
@attribute stand integer
@attribute twenty integer
@attribute party integer
@attribute presently integer
@attribute return integer
@attribute suppose integer
@attribute quiet integer
@attribute earth integer
@attribute sorry integer
@attribute paper integer
@attribute ladies integer
@attribute school integer
@attribute natural integer
@attribute taking integer
@attribute human integer
@attribute dinner integer
@attribute moved integer
@attribute added integer
@attribute thousand integer
@attribute power integer
@attribute silence integer
@attribute suddenly integer
@attribute woods integer
@attribute sleep integer
@attribute question integer
@attribute mighty integer
@attribute scarcely integer
@attribute silent integer
@attribute begun integer
@attribute dropped integer
@attribute creature integer
@attribute knowed integer
@attribute seeing integer
@attribute situation integer
@attribute answered integer
@attribute character integer
@attribute spirits integer
@attribute wonder integer
@attribute wrong integer
@attribute running integer
@attribute slowly integer
@attribute darkness integer
@attribute company integer
@attribute below integer
@attribute clock integer
@attribute heavy integer
@attribute maybe integer
@attribute danger integer
@attribute comfort integer
@attribute received integer
@attribute distance integer
@attribute object integer
@attribute clothes integer
@attribute machine integer
@attribute observed integer
@attribute horse integer
@attribute wished integer
@attribute satisfied integer
@attribute fellow integer
@attribute trying integer
@attribute afterwards integer
@attribute forward integer
@attribute watch integer
@attribute nature integer
@attribute girls integer
@attribute carried integer
@attribute bring integer
@attribute truth integer
@attribute mouth integer
@attribute horses integer
@attribute breakfast integer
@attribute church integer
@attribute conversation integer
@attribute entered integer
@attribute piece integer
@attribute heads integer
@attribute assure integer
@attribute floor integer
@attribute living integer
@attribute particular integer
@attribute notice integer
@attribute secret integer
@attribute front integer
@attribute straight integer
@attribute sudden integer
@attribute write integer
@attribute blood integer
@attribute bright integer
@attribute except integer
@attribute allowed integer
@attribute couple integer
@attribute awful integer
@attribute walking integer
@attribute visit integer
@attribute obliged integer
@attribute believed integer
@attribute exactly integer
@attribute broken integer
@attribute imagine integer
@attribute reckoned integer
@attribute raised integer
@attribute remained integer
@attribute figure integer
@attribute listened integer
@attribute continued integer
@attribute worth integer
@attribute shook integer
@attribute tears integer
@attribute fortune integer
@attribute widow integer
@attribute appearance integer
@attribute closed integer
@attribute morrow integer
@attribute meant integer
@attribute sitting integer
@attribute judged integer
@attribute smile integer
@attribute breast integer
@attribute affection integer
@attribute expected integer
@attribute green integer
@attribute prison integer
@attribute chair integer
@attribute story integer
@attribute stone integer
@attribute engaged integer
@attribute middle integer
@attribute miles integer
@attribute breath integer
@attribute degree integer
@attribute speaking integer
@attribute beautiful integer
@attribute begin integer
@attribute married integer
@attribute spoken integer
@attribute pride integer
@attribute spirit integer
@attribute acquaintance integer
@attribute public integer
@attribute agreeable integer
@attribute noise integer
@attribute stairs integer
@attribute lived integer
@attribute manners integer
@attribute repeated integer
@attribute worse integer
@attribute confidence integer
@attribute caught integer
@attribute broke integer
@attribute asleep integer
@attribute giving integer
@attribute neither integer
@attribute watched integer
@attribute reached integer
@attribute sisters integer
@attribute fixed integer
@attribute length integer
@attribute touch integer
@attribute seven integer
@attribute hurry integer
@attribute regard integer
@attribute marry integer
@attribute circumstances integer
@attribute gentlemen integer
@attribute extremely integer
@attribute laughed integer
@attribute nearly integer
@attribute hoped integer
@attribute society integer
@attribute pleasant integer
@attribute fancy integer
@attribute meaning integer
@attribute makes integer
@attribute honour integer
@attribute windows integer
@attribute start integer
@attribute equal integer
@attribute influence integer
@attribute uncle integer
@attribute fetch integer
@attribute afternoon integer
@attribute handsome integer
@attribute marriage integer
@attribute respect integer
@attribute impossible integer
@attribute consider integer
@attribute watching integer
@attribute wrote integer
@attribute dollars integer
@attribute comfortable integer
@attribute beginning integer
@attribute occasion integer
@attribute altogether integer
@attribute quick integer
@attribute waiting integer
@attribute looks integer
@attribute letters integer
@attribute cylinder integer
@attribute expression integer
@attribute summer integer
@attribute plain integer
@attribute determined integer
@attribute dreadful integer
@attribute nephew integer
@attribute candle integer
@attribute outside integer
@attribute canoe integer
@attribute particularly integer
@attribute third integer
@attribute settled integer
@attribute rising integer
@attribute pleased integer
@attribute superior integer
@attribute glass integer
@attribute forth integer
@attribute resolved integer
@attribute dream integer
@attribute yards integer
@attribute nearer integer
@attribute direction integer
@attribute doors integer
@attribute instead integer
@attribute roads integer
@attribute shore integer
@attribute shoulder integer
@attribute spite integer
@attribute knowledge integer
@attribute farther integer
@attribute difference integer
@attribute probably integer
@attribute quarter integer
@attribute growing integer
@attribute laugh integer
@attribute break integer
@attribute garden integer
@attribute perfect integer
@attribute convinced integer
@attribute yesterday integer
@attribute merely integer
@attribute moving integer
@attribute considerable integer
@attribute dance integer
@attribute court integer
@attribute coach integer
@attribute anyway integer
@attribute entirely integer
@attribute drawing integer
@attribute supper integer
@attribute cause integer
@attribute noticed integer
@attribute effect integer
@attribute touched integer
@attribute knife integer
@attribute faint integer
@attribute surprise integer
@attribute directly integer
@attribute sweet integer
@attribute supposed integer
@attribute attachment integer
@attribute purpose integer
@attribute knowing integer
@attribute master integer
@attribute passing integer
@attribute fallen integer
@attribute service integer
@attribute bookauthor {austen,dickens,twain,wells}

@data
4,0,1,0,1,0,0,0,3,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,austen
0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,austen
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,austen
2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,austen
2,0,0,2,1,0,0,1,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,4,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,austen
4,0,2,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,austen
1,0,1,0,0,2,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,austen
5,0,1,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,austen
2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,austen
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,austen
